5,49.37,49.68
10,55.09,54.85
15,56.17,55.44
20,55.71,54.92
25,57.76,56.97
30,62.2,61.33
35,62.22,61.56
40,64.4,62.87
45,65.78,64.48
50,67.41,65.94
60,67.23,65.56
70,71.06,68.61
80,71.74,69.34
90,71.98,70.32
100,73.27,70.46
200,79.52,75.4
300,82.15,77.12
400,85.66,78.72
500,86.13,79.1
600,87.89,79.85
700,87.04,79.55
800,89.35,80.66
900,88.59,79.86
1000,91.1,80.8
